name,lat,lon,説明,住所
066-5 四季の丘南緑地西側,35.60427532141514,139.37344333405952,ポスター掲示場,南大沢４－１１２先
183-7 高倉小学校南側,35.66260547599008,139.36586584181103,ポスター掲示場,高倉町６７
